arcos_all_washpost_shuf5000
REPORTER_DEA_NO,REPORTER_BUS_ACT,REPORTER_NAME,REPORTER_ADDL_CO_INFO,REPORTER_ADDRESS1,REPORTER_ADDRESS2,REPORTER_CITY,REPORTER_STATE,REPORTER_ZIP,REPORTER_COUNTY,BUYER_DEA_NO,BUYER_BUS_ACT,BUYER_NAME,BUYER_ADDL_CO_INFO,BUYER_ADDRESS1,BUYER_ADDRESS2,BUYER_CITY,BUYER_STATE,BUYER_ZIP,BUYER_COUNTY,TRANSACTION_CODE,DRUG_CODE,NDC_NO,DRUG_NAME,QUANTITY,UNIT,ACTION_INDICATOR,ORDER_FORM_NO,CORRECTION_NO,STRENGTH,TRANSACTION_DATE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,TRANSACTION_ID,Product_Name,Ingredient_Name,Measure,MME_Conversion_Factor,Combined_Labeler_Name,Revised_Company_Name,Reporter_family,dos_str
RW0165731,DISTRIBUTOR,WAL-MART PHARMACY WAREHOUSE,null,#28,801 COR-DA BOULEVARD,CRAWFORDSVILLE,IN,47933,MONTGOMERY,BW5397472,CHAIN PHARMACY,WAL-MART PHARMACY 10-2035,null,1501 WAGNER AVE,null,GREENVILLE,OH,45331,DARKE,S,9193,406035705,HYDROCODONE,1.0,null,null,null,null,null,5302008,1.5135,500.0,805009969,HYDROCODONE BIT/ACETAMINOPHEN 5MG/50,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Wal-Mart,5.0
RO0153609,DISTRIBUTOR,CARDINAL HEALTH,null,71 MIL-ACRES DR,null,WHEELING,WV,26003,OHIO,BK5778723,CHAIN PHARMACY,KROGER PHARMACY,null,1441 PARSONS AVE,null,COLUMBUS,OH,43207,FRANKLIN,S,9143,406052301,OXYCODONE,4.0,null,null,110210934,null,null,8312011,3.5860000000000000,400.0,1108131229,OXYCODONE HCL/ACETAMINOPHEN 10MG/325,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,Cardinal Health,10.0
RW0231908,DISTRIBUTOR,CARDINAL HEALTH,null,2353 PROSPECT DR,null,AURORA,IL,60502,DUPAGE,AH5988920,CHAIN PHARMACY,"HOOK-SUPERX, L.L.C.",DBA: CVS/PHARMACY  # 06656,3824 MAIN STREET,null,ANDERSON,IN,46013,MADISON,S,9143,406051201,OXYCODONE,4.0,null,null,106204722,null,0,4062011,1.7930000000000000,400.0,1104020442,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,Cardinal Health,5.0
PM0021535,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG CO.,3775 SEAPORT BLVD,WEST SACRAMENTO,CA,95691,YOLO,BC8361660,RETAIL PHARMACY,CRYSTAL MEDICAL CENTER,"PHARMACY, INC.",2809 OLIVE HIGHWAY,SUITE 160,OROVILLE,CA,95966,BUTTE,S,9193,591320301,HYDROCODONE,6.0,null,null,null,null,null,7172008,2.7243,600.0,807026863,HYDROCODONE BITARTRATE AND ACETA 7.5,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",McKesson Corporation,7.5
RW0281953,DISTRIBUTOR,WALGREEN CO,null,710 OVILLA ROAD,null,WAXAHACHIE,TX,75167,ELLIS,AW1075111,CHAIN PHARMACY,WALGREEN CO.,DBA: WALGREENS # 03001,1102 SOUTH BROADWAY,null,LA PORTE,TX,77571,HARRIS,S,9193,591038705,HYDROCODONE,1.0,null,null,null,null,null,3072012,2.27025,500.0,3596,HYDROCODONE BITARTRATE 7.5MG/ACETAMI,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",Walgreen Co,7.5
RC0238104,DISTRIBUTOR,CARDINAL HEALTH,null,2512 WESTCOTT BLVD,null,KNOXVILLE,TN,37931,KNOX,AR2647672,CHAIN PHARMACY,"TENNESSEE CVS PHARMACY, L.L.C.",DBA: CVS/PHARMACY  # 07280,1100 WEST ELK AVE.,null,ELIZABETHTON,TN,37643,CARTER,S,9143,59011041010,OXYCODONE,2.0,null,null,113716052,null,null,1112012,1.7930000000000000,200.0,1201032366,OXYCONTIN 10MG OXYCODONE HCL CR TABL,OXYCODONE HYDROCHLORIDE,TAB,1.5,Purdue Pharma LP,Purdue Pharma LP,Cardinal Health,10.0
PD0029567,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG COMPANY,7721 POLK STREET,LANDOVER,MD,20785,PRINCE GEORGES,BR8088901,CHAIN PHARMACY,ECKERD CORPORATION,RITE AID #11218,833 SOUTH SALISBURY BLVD.,null,SALISBURY,MD,21801,WICOMICO,S,9143,53746020501,OXYCODONE,1.0,null,null,96882449,null,null,2152010,0.672375,100.0,1002039790,OXYCODONE HCL/ACETAMINOPHEN TABS. 7.,OXYCODONE HYDROCHLORIDE,TAB,1.5,Amneal Pharmaceuticals LLC,"Amneal Pharmaceuticals, Inc.",McKesson Corporation,7.5
RA0291170,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,null,1085 N. SATELLITE BLVD,null,SUWANEE,GA,30024,GWINNETT,BF1577103,RETAIL PHARMACY,FREDS PHARMACY,null,5011 FOURTH AVE,null,EASTMAN,GA,31023,DODGE,S,9143,591082001,OXYCODONE,2.0,null,null,80350829,null,null,4252008,0.80685,200.0,3882,OXYCODONE & ASPIRIN 4.5MG OXYCOD.HCL,OXYCODONE HYDROCHLORIDE,TAB,1.5,"Actavis Pharma, Inc.","Allergan, Inc.",AmerisourceBergen Drug,null
RW0282145,DISTRIBUTOR,WAL-MART PHARMACY WHSE #45,null,2250 NORTH 8TH STREET,SUITE 102-A,ROGERS,AR,72756,BENTON,BW5395973,CHAIN PHARMACY,WAL-MART PHARMACY 10-1448,null,1996 EAST MAIN ST,null,ASHLAND,OH,44805,ASHLAND,S,9143,406051201,OXYCODONE,12.0,null,null,95195492,null,null,2042010,5.379,1200.0,1002117964,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,Wal-Mart,5.0
RW0279996,DISTRIBUTOR,CARDINAL HEALTH,null,851 HENRIETTA CREEK ROAD,null,ROANOKE,TX,76262,DENTON,BW6078794,CHAIN PHARMACY,WALGREEN CO.,DBA: WALGREENS # 04857,4921 BRYANT IRVIN RD.,null,FT WORTH,TX,76132,TARRANT,S,9193,591320301,HYDROCODONE,1.0,null,null,null,null,0,4172008,0.45405,100.0,804018826,HYDROCODONE BITARTRATE AND ACETA 7.5,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",Cardinal Health,7.5
